weight,reps,visit_id
185,7,1
185,7,1
185,7,1
0,0,1
185,7,2
185,8,2
185,7,2
0,0,2
185,8,3
185,8,3
185,7,3
0,0,3
185,8,4
185,6,4
185,5,4
0,0,4
185,5,5
185,5,5
135,8,5
0,0,5
185,7,6
185,7,6
185,7,6
0,0,6
185,7,7
185,6,7
185,4,7
0,0,7
185,6,8
185,6,8
185,6,8
0,0,8
185,7,9
185,6,9
185,6,9
0,0,9
185,7,10
185,7,10
185,6,10
0,0,10
185,7,11
185,7,11
185,7,11
0,0,11
185,5,12
185,7,12
185,7,12
0,0,12
185,6,13
185,4,13
165,6,13
165,5,13
185,7,14
185,7,14
165,8,14
165,8,14
185,8,15
185,8,15
185,6,15
165,7,15
205,7,16
205,4,16
185,6,16
185,6,16
185,8,17
205,6,17
205,6,17
185,4,17
185,7,18
205,7,18
205,4,18
185,7,18
185,7,19
205,8,19
205,4,19
185,5,19
185,7,20
225,5,20
205,6,20
185,7,20
225,5,21
205,5,21
205,4,21
185,7,21
225,5,22
205,6,22
205,5,22
185,5,22
225,4,23
205,7,23
205,5,23
185,6,23
75,10,24
95,10,24
95,10,24
0,0,24
155,8,25
165,8,25
175,8,25
0,0,25
205,6,26
225,4,26
225,3,26
195,9,26
95,10,27
105,10,27
115,10,27
0,0,27
175,8,28
195,8,28
195,8,28
0,0,28
225,6,29
205,7,29
205,3,29
195,5,29
115,10,30
125,10,30
135,10,30
0,0,30
195,8,31
205,8,31
215,8,31
0,0,31
225,6,32
215,5,32
215,4,32
195,5,32
135,10,33
145,10,33
145,10,33
0,0,33
225,8,34
225,8,34
235,6,34
0,0,34
225,4,35
215,3,35
215,5,35
205,4,35
155,8,36
165,8,36
165,5,36
155,8,36
245,8,37
0,0,37
0,0,37
0,0,37
225,6,38
215,5,38
215,4,38
205,5,38
165,8,39
165,8,39
165,8,39
175,8,39
265,7,40
0,0,40
0,0,40
0,0,40
230,4,41
215,5,41
215,5,41
205,6,41
165,8,42
175,8,42
175,8,42
175,8,42
285,5,43
0,0,43
0,0,43
0,0,43
230,6,44
215,5,44
215,5,44
205,6,44
175,8,45
175,8,45
185,8,45
185,10,45
300,3,46
0,0,46
0,0,46
0,0,46
240,5,47
215,5,47
215,6,47
205,5,47
185,8,48
195,8,48
195,8,48
205,8,48
300,4,49
0,0,49
0,0,49
0,0,49
240,3,50
225,4,50
215,6,50
215,5,50
205,6,51
215,6,51
215,6,51
215,6,51
300,5,52
225,3,52
225,5,52
225,5,52
240,3,53
225,5,53
225,4,53
225,3,53
215,6,54
215,6,54
215,6,54
225,6,54
315,2,55
275,3,55
275,4,55
275,5,55
240,4,56
225,5,56
225,4,56
225,4,56
225,6,57
225,6,57
225,6,57
225,6,57
315,3,58
275,5,58
295,3,58
275,4,58
240,5,59
225,5,59
225,4,59
225,5,59
225,4,60
225,5,60
225,5,60
225,3,60
315,3,61
295,4,61
295,3,61
275,5,61
245,5,62
245,4,62
245,3,62
225,2,62
225,5,63
225,5,63
225,5,63
225,3,63
315,4,64
315,2,64
275,5,64
275,5,64
245,5,65
245,2,65
245,3,65
225,5,65
225,5,66
225,5,66
225,6,66
225,6,66
315,2,67
315,2,67
295,2,67
295,1,67
250,5,68
245,4,68
245,3,68
225,5,68
235,5,69
235,5,69
235,5,69
235,5,69
315,5,70
315,3,70
295,3,70
275,5,70
250,5,71
250,3,71
250,3,71
225,4,71
245,5,72
245,5,72
245,5,72
245,5,72
325,3,73
315,2,73
315,1,73
295,1,73
225,5,74
145,8,74
145,10,74
145,8,74
225,6,75
145,11,75
145,9,75
145,9,75
325,4,76
315,3,76
315,2,76
275,5,76
255,2,77
225,7,77
225,4,77
225,3,77
250,5,78
250,5,78
250,5,78
250,5,78
325,5,79
315,3,79
315,3,79
295,5,79
255,3,80
235,5,80
235,4,80
225,2,80
260,5,81
260,5,81
260,5,81
260,5,81
345,3,82
315,2,82
225,5,82
225,5,82
245,5,83
235,5,83
235,5,83
235,3,83
255,5,84
275,5,84
265,5,84
265,5,84
335,5,85
315,5,85
315,4,85
295,5,85
255,3,86
245,4,86
235,5,86
235,4,86
270,5,87
270,5,87
275,5,87
270,5,87
345,3,88
315,5,88
315,5,88
315,5,88
255,3,89
245,4,89
235,3,89
225,2,89
275,5,90
275,5,90
275,5,90
275,5,90
345,5,91
335,3,91
325,5,91
315,4,91
255,4,92
245,4,92
235,4,92
225,4,92
285,5,93
275,5,93
275,5,93
275,5,93
355,5,94
335,3,94
325,5,94
315,5,94
255,5,95
245,5,95
235,5,95
235,4,95
295,5,96
295,5,96
295,5,96
295,5,96
355,5,97
335,4,97
325,5,97
315,5,97
260,4,98
245,5,98
245,4,98
235,2,98
315,5,99
295,5,99
295,5,99
295,5,99
355,5,100
335,5,100
325,5,100
315,5,100
165,5,101
190,5,101
220,8,101
0,0,101
210,5,102
240,5,102
270,9,102
0,0,102
90,5,103
100,5,103
115,10,103
0,0,103
235,5,104
270,5,104
305,8,104
0,0,104
180,3,105
205,3,105
230,8,105
0,0,105
210,3,106
240,3,106
