id,date,type,program,set_one,rep_one,set_two,rep_two,set_three,rep_three,set_four,rep_four
1,5/10/2015,bench,initialFourSet,185,7,185,7,185,7,0,0
2,5/22/2015,bench,initialFourSet,185,7,185,8,185,7,0,0
3,6/7/2015,bench,initialFourSet,185,8,185,8,185,7,0,0
4,6/15/2015,bench,initialFourSet,185,8,185,6,185,5,0,0
5,6/22/2015,bench,initialFourSet,185,5,185,5,135,8,0,0
6,6/29/2015,bench,initialFourSet,185,7,185,7,185,7,0,0
7,7/6/2015,bench,initialFourSet,185,7,185,6,185,4,0,0
8,7/13/2015,bench,initialFourSet,185,6,185,6,185,6,0,0
9,7/26/2015,bench,initialFourSet,185,7,185,6,185,6,0,0
10,8/2/2015,bench,initialFourSet,185,7,185,7,185,6,0,0
11,8/9/2015,bench,initialFourSet,185,7,185,7,185,7,0,0
12,8/16/2015,bench,initialFourSet,185,5,185,7,185,7,0,0
13,8/23/2015,bench,initialFourSet,185,6,185,4,165,6,165,5
14,8/30/2015,bench,initialFourSet,185,7,185,7,165,8,165,8
15,9/6/2015,bench,initialFourSet,185,8,185,8,185,6,165,7
16,9/13/2015,bench,initialFourSet,205,7,205,4,185,6,185,6
17,9/20/2015,bench,initialFourSet,185,8,205,6,205,6,185,4
18,9/27/2015,bench,initialFourSet,185,7,205,7,205,4,185,7
19,10/4/2015,bench,initialFourSet,185,7,205,8,205,4,185,5
20,10/11/2015,bench,initialFourSet,185,7,225,5,205,6,185,7
21,10/18/2015,bench,initialFourSet,225,5,205,5,205,4,185,7
22,10/25/2015,bench,initialFourSet,225,5,205,6,205,5,185,5
23,11/1/2015,bench,initialFourSet,225,4,205,7,205,5,185,6
24,11/2/2015,"low squat",initialFourSet,75,10,95,10,95,10,0,0
25,11/5/2015,deadlift,initialFourSet,155,8,165,8,175,8,0,0
26,11/8/2015,bench,initialFourSet,205,6,225,4,225,3,195,9
27,11/9/2015,"low squat",initialFourSet,95,10,105,10,115,10,0,0
28,11/12/2015,deadlift,initialFourSet,175,8,195,8,195,8,0,0
29,11/15/2015,bench,initialFourSet,225,6,205,7,205,3,195,5
30,11/16/2015,"low squat",initialFourSet,115,10,125,10,135,10,0,0
31,11/19/2015,deadlift,initialFourSet,195,8,205,8,215,8,0,0
32,11/22/2015,bench,initialFourSet,225,6,215,5,215,4,195,5
33,11/23/2015,"low squat",initialFourSet,135,10,145,10,145,10,0,0
34,11/26/2015,deadlift,initialFourSet,225,8,225,8,235,6,0,0
35,11/29/2015,bench,initialFourSet,225,4,215,3,215,5,205,4
36,11/30/2015,"low squat",initialFourSet,155,8,165,8,165,5,155,8
37,12/3/2015,deadlift,initialFourSet,245,8,0,0,0,0,0,0
38,12/6/2015,bench,initialFourSet,225,6,215,5,215,4,205,5
39,12/7/2015,"low squat",initialFourSet,165,8,165,8,165,8,175,8
40,12/10/2015,deadlift,initialFourSet,265,7,0,0,0,0,0,0
41,12/13/2015,bench,initialFourSet,230,4,215,5,215,5,205,6
42,12/14/2015,"low squat",initialFourSet,165,8,175,8,175,8,175,8
43,12/17/2015,deadlift,initialFourSet,285,5,0,0,0,0,0,0
44,12/20/2015,bench,initialFourSet,230,6,215,5,215,5,205,6
45,12/21/2015,"low squat",initialFourSet,175,8,175,8,185,8,185,10
46,12/24/2015,deadlift,initialFourSet,300,3,0,0,0,0,0,0
47,12/27/2015,bench,initialFourSet,240,5,215,5,215,6,205,5
48,12/28/2015,"low squat",initialFourSet,185,8,195,8,195,8,205,8
